Symbol,Description,FinancialInstrument,Sector,AvgWeight,Return,Contribution,Unrealized_P&L,Realized_P&L,Open
TSLA  221216C00160000,TSLA 16DEC22 160 C,Options,Consumer Cyclicals,0.057389796,-100,-0.072947101,0.00,-289.04,No
TSLA  221223C00120000,TSLA 23DEC22 120 C,Options,Consumer Cyclicals,0.088910963,141.956666248,0.126215038,0.00,498.32,No
TSLA  221230C00116000,TSLA 30DEC22 116 C,Options,Consumer Cyclicals,0.093409579,-13.642991401,-0.012743861,0.00,-49.67,No
TSLA  230217C00200000,TSLA 17FEB23 200 C,Options,Consumer Cyclicals,0.092594032,44.532443869,0.041234385,0.00,102.89,No
TSLA  230217C00207500,TSLA 17FEB23 207.5 C,Options,Consumer Cyclicals,0.077199515,32.383141715,0.024999628,0.00,62.38,No
TSLA  230310C00182500,TSLA 10MAR23 182.5 C,Options,Consumer Cyclicals,0.10416729,-6.31347578,-0.006576577,0.00,-16.10,No
TTD   220617P00092000,TTD 17JUN22 92.0 P,Options,Technology,0.278271486,23.651607359,0.063209349,0.00,250.95,No
USB   250117C00035000,USB 17JAN25 35 C,Options,Financials,0.217415148,-27.195062194,-0.063629459,0.00,-163.25,No
UVXY  211119C00014000,UVXY 19NOV21 14.0 C,Options,Broad,0.032497637,72.082582125,0.022171329,0.00,88.37,No
UVXY  211203C00017000,UVXY 03DEC21 17.0 C,Options,Broad,0.036929484,100.447307576,0.024737946,0.00,99.46,No
UVXY  211217C00015000,UVXY 17DEC21 15.0 C,Options,Broad,0.03187512,27.9587625,0.009936737,0.00,39.32,No
UVXY  211223C00015000,UVXY 23DEC21 15.0 C,Options,Broad,0.041801802,117.974389651,0.046699987,0.00,183.46,No
UVXY  211231C00016000,UVXY 31DEC21 16.0 C,Options,Broad,0.011706181,-100,-0.035321453,0.00,-138.52,No
UVXY  220114C00011000,UVXY 14JAN22 11.0 C,Options,Broad,0.022232845,-5.465670801,-0.00129495,0.00,-5.09,No
UVXY  220114C00012000,UVXY 14JAN22 12.0 C,Options,Broad,0.026014091,-81.079416119,-0.03141982,0.00,-124.09,No
UVXY  220211C00014000,UVXY 11FEB22 14.0 C,Options,Broad,0.029824004,-100,-0.028279087,0.00,0.00,No
UVXY  220325C00015000,UVXY 25MAR22 15.0 C,Options,Broad,0.014880992,-100,-0.027392596,0.00,-106.99,No
UVXY  220708C00013000,UVXY 08JUL22 13 C,Options,Broad,0.027433207,-100,-0.028541247,0.00,-107.48,No
WBA   240328C00021500,WBA 28MAR24 21.5 C,Options,Consumer Non-Cyc,0.126928583,-100,-0.171943694,0.00,0.00,No
XYZ   270115C00070000,XYZ 15JAN27 70 C,Options,Industrials,2.71640672,-33.182888729,-1.202375101,0.00,"-3,371.60",No
YINN1 230120C00007000,YINN1 20JAN23 7 C,Options,Broad,0.014859529,-100,-0.076352381,0.00,-300.40,No
YINN1 230120C00010000,YINN1 20JAN23 10 C,Options,Broad,0.00382934,-100,-0.026968279,0.00,-105.55,No
ZM    211203P00160000,ZM 03DEC21 160.0 P,Options,Technology,0.00771462,-100,-0.025806617,0.00,-101.96,No
Total Options,,,,4.277347394,-100,-1.827700415,0.00,"-5,893.46"
9988,ALIBABA GROUP HOLDING LTD,Stocks,Technology,1.756663441,-14.983340919,-0.278423194,0.00,"-1,139.20",No
ABEV,AMBEV SA-ADR,Stocks,Consumer Non-Cyc,0.769985445,10.878087875,0.076684196,0.00,242.98,No
ABNB,AIRBNB INC-CLASS A,Stocks,Technology,2.211598187,10.317903165,0.266758425,0.00,622.84,No
ACB.OLD,AURORA CANNABIS INC,Stocks,Healthcare,0.382957671,13.852251919,0.052065934,0.00,208.48,No
ADBE,ADOBE INC,Stocks,Technology,2.039121272,2.675928478,0.054903484,0.00,126.48,No
AI,C3.AI INC-A,Stocks,Technology,1.033805195,26.138106439,0.093314605,0.00,359.60,No
AMZN,AMAZON.COM INC,Stocks,Consumer Cyclicals,1.11730205,-14.18223275,-0.182336746,0.00,-527.20,No
ATVI,ACTIVISION BLIZZARD INC,Stocks,Telecomm,1.294062972,5.664364304,0.071748824,0.00,287.48,No
AVAL,GRUPO AVAL ACCIONES Y VALORE,Stocks,Financials,0.685187811,5.961944712,0.037375009,0.00,129.33,No
AVK,ADVENT CONVERT & INCOME,Stocks,Broad,2.97113027,8.795103609,0.312206219,0.00,681.27,No
BA,BOEING CO/THE,Stocks,Industrials,0.598027067,-19.169295132,-0.076490928,0.00,-300.42,No
BABA,ALIBABA GROUP HOLDING-SP ADR,Stocks,Technology,2.23939637,7.752716522,0.532837053,0.00,888.03,No
BAC,BANK OF AMERICA CORP,Stocks,Financials,1.170071011,-5.430265319,-0.065232141,0.00,-158.54,No
BAP,CREDICORP LTD,Stocks,Financials,0.301054196,17.555853394,0.04941916,0.00,193.99,No
BBD,BANCO BRADESCO-ADR,Stocks,Financials,2.023635335,7.104332754,0.141701852,0.00,352.59,No
BBN,BLACKROCK TAXABLE MUNI BND,Stocks,Broad,11.179939027,22.21905335,2.568743163,0.00,"5,438.83",No
BCAT,BLACKROCK CAPITAL ALLOC TR,Stocks,Broad,2.910705728,-6.326714518,-0.18153284,0.00,-711.34,No
BKT,BLACKROCK INCOME TRUST,Stocks,Broad,12.739768566,-1.923185825,-0.248663627,0.00,-601.35,No
BLW,BLACKROCK LTD DURAT INC TR,Stocks,Broad,8.855445674,8.955327452,1.011297562,0.00,"2,434.23",No
BMY,BRISTOL-MYERS SQUIBB CO,Stocks,Healthcare,0.73757914,3.567887991,0.025788179,0.00,102.23,No
BPCR,BIOPHARMA CREDIT PLC,Stocks,Broad,7.788277378,4.694322315,0.46470662,0.00,908.44,No
BTI,BRITISH AMERICAN TOB-SP ADR,Stocks,Consumer Non-Cyc,1.690254843,-0.233044914,-0.00538632,0.00,-224.85,No
BYND,BEYOND MEAT INC,Stocks,Consumer Non-Cyc,0.226558697,-27.703396277,-0.074831831,0.00,-298.52,No
C,CITIGROUP INC,Stocks,Financials,0.773219558,-9.590855519,-0.06337446,0.00,-267.79,No
CAT,CATERPILLAR INC,Stocks,Industrials,0.844326874,12.388414235,0.136304547,0.00,364.40,No
CBDBY,CIA BRASILEIRA DE DIS- ADR,Stocks,Consumer Non-Cyc,1.361605371,18.425633032,0.124587292,0.00,504.61,No
CCL,CARNIVAL CORP,Stocks,Consumer Cyclicals,0.730613976,17.016969334,0.1416235,0.00,581.78,No
CHW,CALAMOS GLOBAL DYNAMIC INCOM,Stocks,Broad,0.222445441,-3.272957718,0.002072003,0.00,-66.50,No
CIG,CIA ENERGETICA DE-SPON ADR,Stocks,Utilities,2.802115632,5.526444753,0.153644617,0.00,609.29,No
CNK,CINEMARK HOLDINGS INC,Stocks,Consumer Cyclicals,1.058131064,5.220287363,0.055582818,0.00,217.76,No
CRM,SALESFORCE INC,Stocks,Technology,0.485516927,-17.092625918,-0.049036682,0.00,-211.65,No
CRSR,CORSAIR GAMING INC,Stocks,Technology,0.629623344,9.450228149,0.057057384,0.00,226.47,No
DIS,WALT DISNEY CO/THE,Stocks,Telecomm,1.397937909,-8.601004995,-0.035087559,0.00,-178.69,No
DPZ,DOMINO'S PIZZA INC,Stocks,Consumer Cyclicals,1.451176796,-14.036540842,-0.31278573,0.00,-747.84,No
DSL,DOUBLELINE INCOME SOLUTIONS,Stocks,Broad,3.164578622,0.166933719,0.025474106,0.00,-262.37,No
EAD,ALLSPRING INCOME OPPORT,Stocks,Broad,3.212765896,-0.126628046,0.012031828,0.00,-257.04,No
EBR,CENTRAIS ELETRICAS BR-SP ADR,Stocks,Utilities,0.290521967,11.789311964,0.03276281,0.00,130.51,No
ENIAY,ENEL AMERICAS SA-ADR,Stocks,Utilities,0.732385812,6.560432942,0.047599232,0.00,162.42,No
ERC,ALLSPRING MULTI-SECTOR INC,Stocks,Broad,0.285406857,-2.303119343,-0.011854619,0.00,-47.12,No
ETY,EATON VANCE TAX-MGD DIV EQTY,Stocks,Broad,3.258901865,-3.237982381,-0.076015013,0.00,-508.86,No
GBAB,GUGGENHEIM TAXABLE MUNICIPAL,Stocks,Broad,8.845838548,8.806237993,1.470434358,0.00,815.01,No
GDO,WESTERN AST GLB CORP OPPRNTY,Stocks,Broad,9.778580257,10.571503546,1.97406254,0.00,"2,020.99",No
GHY,PGIM GLOBAL HIGH YIELD FUND,Stocks,Broad,3.23126672,6.67476087,0.202936276,0.00,344.49,No
GOLD.OLD,BARRICK MINING CORP,Stocks,Basic Materials,1.176386148,11.306383173,0.128921988,0.00,510.34,No
GOOGL,ALPHABET INC-CL A,Stocks,Telecomm,1.89486153,-10.020695611,-0.20031502,0.00,-497.51,No
GRFS,GRIFOLS SA-ADR,Stocks,Healthcare,1.467530543,14.099783817,0.18220815,0.00,713.74,No
HIX,WESTERN ASSET HIGH INC II,Stocks,Broad,9.186920451,-3.678446737,-0.120907847,0.00,"-3,816.84",No
HIX RT,WESTERN ASSET HIGH INCOM-W/I,Stocks,Broad,0.062651782,-100,-0.103395053,0.00,0.00,No
HMC,HONDA MOTOR CO LTD-SPONS ADR,Stocks,Consumer Cyclicals,0.331555591,-7.24287879,-0.024612421,0.00,-94.28,No
HUYA,HUYA INC-ADR,Stocks,Technology,0.335292904,13.069507827,0.118137439,0.00,470.72,No
ING,ING GROEP N.V.-SPONSORED ADR,Stocks,Financials,0.301423836,-1.928896333,-0.019924105,0.00,-138.57,No
INTC,INTEL CORP,Stocks,Technology,1.720787568,23.967986876,0.349774791,0.00,971.54,No
ITUB,ITAU UNIBANCO H-SPON PRF ADR,Stocks,Financials,1.463545561,-17.413341534,-0.23668514,0.00,-2.06,No
JD,JD.COM INC-ADR,Stocks,Consumer Cyclicals,0.278066569,18.913115324,0.056723308,0.00,206.19,No
KGC,KINROSS GOLD CORP,Stocks,Basic Materials,0.687596771,3.205156031,0.023239703,0.00,87.42,No
KMB,KIMBERLY-CLARK CORP,Stocks,Consumer Non-Cyc,0.810598317,11.034688037,0.089918873,0.00,347.98,No
LMT,LOCKHEED MARTIN CORP,Stocks,Industrials,0.867735927,5.880807123,0.050978707,0.00,180.18,No
LUV,SOUTHWEST AIRLINES CO,Stocks,Industrials,1.939355527,14.722644752,0.29727323,0.00,743.65,No
LVS,LAS VEGAS SANDS CORP,Stocks,Consumer Cyclicals,-0.416855854,-5.863693718,0.108550464,0.00,423.29,No
META,META PLATFORMS INC-CLASS A,Stocks,Telecomm,0.355372417,-7.199863324,0.085118508,0.00,344.80,No
MMM,3M CO,Stocks,Consumer Non-Cyc,0.896588036,-10.013221579,0.146941116,0.00,333.32,No
MRK,MERCK & CO INC,Stocks,Healthcare,0.385922955,9.458742277,0.035303476,0.00,129.35,No
NEM,NEWMONT CORP,Stocks,Basic Materials,1.591710824,-0.324430734,-0.016809915,0.00,-263.79,No
NKE,NIKE INC -CL B,Stocks,Consumer Cyclicals,36.644839108,-6.921952458,-2.252867305,0.00,"-5,744.59",No
NU,NU HOLDINGS LTD/CAYMAN ISL-A,Stocks,Financials,0.245611992,-38.578787138,-0.073723168,0.00,-288.07,No
OPEN,OPENDOOR TECHNOLOGIES INC,Stocks,Real Estate,0.424403682,-43.799440193,-0.181627815,0.00,-754.46,No
ORANY,ORANGE-SPON ADR,Stocks,Technology,0.849948434,8.198177336,0.079076336,0.00,239.71,No
PAGS,PAGSEGURO DIGITAL LTD-CL A,Stocks,Industrials,0.941957947,93.18427647,0.192409378,0.00,794.37,No
PDD,PDD HOLDINGS INC,Stocks,Technology,0.286888693,-16.794483945,-0.049604557,0.00,-194.71,No
PFE,PFIZER INC,Stocks,Healthcare,1.790745043,-38.308870018,-0.797257162,0.00,"-2,078.16",No
PHG,KONINKLIJKE PHILIPS NVR- NY,Stocks,Healthcare,0.466806463,-28.748291543,-0.160565193,0.00,-676.30,No
PML,PIMCO MUNICIPAL INCOME FD II,Stocks,Broad,7.042867876,-4.126990507,-0.64946748,0.00,"-1,586.63",No
PYPL,PAYPAL HOLDINGS INC,Stocks,Financials,1.24615433,-49.26144263,0.020237034,0.00,-310.73,No
QIWI,QIWI PLC-SPONSORED ADR,Stocks,Industrials,1.03022498,-24.450366422,-0.242532304,-917.50,0.00,Yes
SAP,SAP SE-SPONSORED ADR,Stocks,Technology,1.193752449,-14.078144387,-0.240426611,0.00,-927.21,No
SBS,CIA SANEAMENTO BASICO DE-ADR,Stocks,Utilities,0.685056291,28.647646559,0.18222258,0.00,725.93,No
SKLZ,SKILLZ INC,Stocks,Technology,0.571266269,40.19752318,0.239332072,0.00,915.14,No
STM,STMICROELECTRONICS NV-NY SHS,Stocks,Technology,1.12368577,5.85235326,0.056536387,0.00,136.46,No
SWK,STANLEY BLACK & DECKER INC,Stocks,Industrials,0.539607968,-18.02631099,-0.121365778,0.00,-480.05,No
TDOC,TELADOC HEALTH INC,Stocks,Healthcare,0.296114581,-48.103014946,-0.200432751,0.00,-804.34,No
TEN,TENNECO INC-CLASS A,Stocks,Consumer Cyclicals,0.27726832,20.896498403,0.054987002,0.00,215.88,No
TLRY,TILRAY BRANDS INC,Stocks,Healthcare,0.24956256,-45.993358181,-0.136846046,0.00,-538.53,No
TSLA,TESLA INC,Stocks,Consumer Cyclicals,-0.113119067,6.453955494,-0.007300654,0.00,-20.80,No
UGP,ULTRAPAR PARTICPAC-SPON ADR,Stocks,Energy,1.238903115,8.037829959,0.103764987,0.00,404.11,No
UL,UNILEVER PLC-SPONSORED ADR,Stocks,Consumer Non-Cyc,0.773671173,2.381693919,0.019546061,0.00,39.20,No
V,VISA INC-CLASS A SHARES,Stocks,Industrials,0.515706866,6.207210687,0.031117897,0.00,121.39,No
VLT,INVESCO HIGH INCOME TRUST II,Stocks,Broad,2.936462664,-2.863227415,-0.092639543,0.00,-403.66,No
VZ,VERIZON COMMUNICATIONS INC,Stocks,Technology,1.577936613,4.494351146,0.072027926,0.00,280.49,No
WBA,WALGREENS BOOTS ALLIANCE INC,Stocks,Consumer Non-Cyc,0.516403695,-324.225338519,-0.379014675,0.00,"-1,340.40",No
WPM,WHEATON PRECIOUS METALS CORP,Stocks,Basic Materials,1.317039468,15.140401492,0.249192361,0.00,569.94,No
XP,XP INC - CLASS A,Stocks,Financials,1.96658111,-15.199143944,-0.110605217,0.00,55.19,No
XYZ,BLOCK INC,Stocks,Industrials,20.190796323,-4.704474786,-0.969872225,0.00,"-2,254.19",No
Total Stocks,,,,28.612816088,13.544873961,3.874505353,-917.50,-810.25
GBP,Great British Pound,Cash,Cash,0.049274377,-100,-0.001522974,,,No
HKD,Hong Kong Dollar,Cash,Cash,-0.016372131,< -2000000,0.158325889,,,Yes
USD,United States Dollar,Cash,Cash,3.602735466,1025.215803649,2.406160477,,,Yes
Fees,Fees,Cash,Cash,-,-,-0.594236947,,,-
Total Cash,,,,3.589551538,842.566284112,1.957922023
Total,,,,100,31.391761284,31.391761284,"30,241.38",907.99
