PayDate,Ex-Date,Symbol,Note,Quantity,DividendPerShare,Amount
20250422,20250411,CEFD,Dividend Payment,449,0.29,132.19
20250428,20250421,RYLD,Payment In Lieu,930,0.00,3.29
20250428,20250421,RYLD,Dividend Payment,930,0.14,129.79
20250428,20250421,QYLD,Dividend Payment,4550,0.16,727.09
20250430,20250415,BKT,Dividend Payment,1500,0.09,132.3
20250430,20250415,EXG,Dividend Payment,1390,0.07,91.32
20250430,20250415,AVK,Dividend Payment,1050,0.12,122.94
20250430,20250415,AVK,Payment In Lieu,1050,0.00,0.12
20250430,20250415,GBAB,Dividend Payment,1200,0.13,150.88
20250430,20250416,DSL,Dividend Payment,915,0.11,100.65
20250430,20250415,ECAT,Dividend Payment,715,0.30,217.07
20250501,20250423,WDI,Dividend Payment,755,0.15,112.12
20250512,20250505,SDIV,Dividend Payment,890,0.20,173.55
20250521,20250513,CEFD,Dividend Payment,449,0.20,92
20250527,20250519,RYLD,Dividend Payment,930,0.15,137.73
20250530,20250514,DSL,Dividend Payment,915,0.11,100.65
20250530,20250515,ECAT,Dividend Payment,715,0.30,214.34
20250530,20250515,BKT,Dividend Payment,1500,0.09,132.3
20250530,20250515,GBAB,Dividend Payment,1200,0.13,150.88
20250530,20250515,EXG,Dividend Payment,1390,0.07,91.32
20250530,20250515,AVK,Dividend Payment,1050,0.12,123.06
20250602,20250522,WDI,Dividend Payment,755,0.15,112.12
20250611,20250604,SDIV,Dividend Payment,890,0.19,170.88
20250623,20250612,CEFD,Dividend Payment,449,0.22,98.29
20250630,20250613,GBAB,Dividend Payment,1200,0.13,150.88
20250630,20250623,RYLD,Dividend Payment,930,0.15,138.1
20250630,20250618,DSL,Dividend Payment,915,0.11,100.65
20250630,20250613,BKT,Dividend Payment,1500,0.09,132.3
20250630,20250613,ECAT,Dividend Payment,715,0.30,212.08
20250630,20250613,AVK,Dividend Payment,1050,0.12,123.06
20250630,20250616,EXG,Dividend Payment,1390,0.07,91.32
20250701,20250623,WDI,Dividend Payment,755,0.15,112.12
20250711,20250703,SDIV,Dividend Payment,890,0.19,169.1
20250722,20250714,CEFD,Dividend Payment,449,0.27,122.49
20250728,20250721,RYLD,Dividend Payment,930,0.15,139.31
20250730,20250627,2828,Dividend Payment,4200,0.17,695.5494
20250731,20250716,DSL,Dividend Payment,915,0.11,100.65
20250731,20250715,ECAT,Dividend Payment,715,0.29,209.96
20250731,20250715,BKT,Dividend Payment,1500,0.09,132.3
20250731,20250715,EXG,Dividend Payment,1390,0.07,91.32
20250731,20250715,GBAB,Dividend Payment,1200,0.13,150.88
20250731,20250715,AVK,Dividend Payment,1050,0.12,123.06
20250801,20250724,WDI,Dividend Payment,755,0.15,112.12
20250812,20250805,SDIV,Dividend Payment,890,0.19,169.1
20250820,20250812,CEFD,Dividend Payment,449,0.21,93.98
20250825,20250818,RYLD,Dividend Payment,930,0.15,140.06
20250829,20250813,DSL,Dividend Payment,915,0.11,100.65
20250829,20250815,GBAB,Dividend Payment,1200,0.13,150.88
20250829,20250815,AVK,Dividend Payment,1050,0.12,123.06
20250829,20250815,EXG,Dividend Payment,1390,0.07,91.32
20250829,20250815,ECAT,Dividend Payment,715,0.29,207.47
20250829,20250815,BKT,Dividend Payment,1500,0.09,132.3
20250902,20250822,WDI,Dividend Payment,755,0.15,112.12
20250923,20250915,CEFD,Dividend Payment,449,0.22,100.76
20250929,20250922,RYLD,Dividend Payment,930,0.15,141.08
20250929,20250917,2828,Dividend Payment,4200,0.06,269.787
20250930,20250917,DSL,Dividend Payment,915,0.11,100.65
20250930,20250915,GBAB,Dividend Payment,1200,0.13,150.88
20250930,20250915,ECAT,Dividend Payment,715,0.29,205.61
20250930,20250915,BKT,Dividend Payment,1500,0.09,132.3
20250930,20250915,AVK,Dividend Payment,1050,0.12,123.06
20251001,20250923,WDI,Dividend Payment,755,0.15,112.12
20251001,20250915,NBB,Dividend Payment,1000,0.10,96.5
20251006,20251001,FLBL,Dividend Payment,2361,0.13,309.74
20251027,20251020,RYLD,Dividend Payment,930,0.15,141.83
20251031,20251015,ECAT,Dividend Payment,715,0.28,203.63
20251031,20251015,GBAB,Dividend Payment,1200,0.13,150.88
20251031,20251015,AVK,Dividend Payment,1050,0.12,123.06
20251031,20251015,DSL,Dividend Payment,915,0.11,100.65
20251031,20251015,BKT,Dividend Payment,1500,0.09,132.3
20251103,20251024,WDI,Dividend Payment,755,0.15,112.12
20251103,20251015,NBB,Dividend Payment,1000,0.10,96.5
20251106,20251103,FLBL,Dividend Payment,2361,0.17,391.22
20251128,20251114,AVK,Dividend Payment,1050,0.12,123.06
20251128,20251114,BKT,Dividend Payment,1500,0.09,132.3
20251128,20251114,ECAT,Dividend Payment,715,0.28,201.49
20251128,20251119,DSL,Dividend Payment,915,0.11,100.65
20251128,20251114,GBAB,Dividend Payment,1200,0.13,150.88
20251201,20251114,NBB,Dividend Payment,1000,0.10,96.5
20251201,20251120,WDI,Dividend Payment,755,0.15,112.12
20251202,20251124,RYLD,Dividend Payment,930,0.15,141.17
20251204,20251201,FLBL,Dividend Payment,2361,0.14,319.25
20251219,20251210,WDI,Dividend Payment,755,0.15,112.12
20251224,20251219,FLBL,Dividend Payment,2361,0.19,442.52
20251230,20251222,RYLD,Dividend Payment,930,0.16,144.24
20251231,20251222,ECAT,Dividend Payment,715,0.28,199.16
20251231,20251222,BKT,Dividend Payment,1500,0.09,132.3
20251231,20251217,DSL,Dividend Payment,915,0.11,100.65
20251231,20251215,NBB,Dividend Payment,1000,0.10,96.5
20251231,20251215,GBAB,Dividend Payment,1200,0.13,150.88
20251231,20251215,AVK,Dividend Payment,1050,0.12,123.06
